,title,abstract,doi,asreview_label,asreview_time,asreview_note
523,"Comparative Assessment of Microplastics in Surface Waters and Sediments of the Vaal River, South Africa: Abundance, Composition, and Sources","We extracted microplastics from surface water and sediment samples from the Vaal River in Johannesburg, South Africa. Average abundances of 0.61 ?? 0.57 particles/ m3 and 4.6 ?? 10(2) ?? 2.8 ?? 10(2) particles/kg dry weight were recorded for water and sediment samples, respectively. In both sediment and water samples, more than 80% of microplastics were fragments and fibers of smaller than 2 mm. High-density polyethylene, low-density polyethylene, and polypropylene were the dominant polymers identified in both sample types. In addition, polyethylene co-vinyl acetate, polyester, polyurethane, and polyethylene/hexene-1-copolymer were also detected in sediment samples. Colored microplastics were the most commonly observed in both sample types; pigment yellow 83 was detected in surface water, and carbon black was detected in both sediment and water samples during Raman analysis. Taking into consideration the physical and chemical characteristics of the detected microplastics, their potential sources include inflow from tributaries, surface run-off from urban city centers, recreational activities, and wastewater effluent from industries and households. Environ Toxicol Chem 2022;41:3029-3040. ?? 2022 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC.",10.1002/etc.5482,1,11/11/2025 13:14,
158,"""Spatial distribution, abundance, and risk assessment of microplastics in the surface water of Kaptai Lake: Southeast Asia's largest artificial reservoir""","Microplastics (MPs) are ubiquitous in aquatic habitats and have the potential to seriously harm the ecosystem, creatures, and public health. Microplastic pollution in water has garnered attention, but regional microplastic distribution, shape, and risk are unknown. We collected 42 samples from 14 sampling sites in Kaptai Lake to study the spatial variations, causes, transfer, composition profile, and environmental impact of MPs in water. The sampling was done in January 2024 by using a manta trawl having a mesh size of 300 mu m. The MPs in water samples were digested, vacuum filtered and quantified using an optical microscope. The number of MPs ranged from 13.33 +/- 6.67 to 683 +/- 70.55 items/m(3). Plastic particles were most often transparent (38.07 %) and red (11.01 %). MPs types in water were ordered as follows: Fibers > foams > fragments > lines > films > pellets. According to the analysis in Fourier-transform infrared spectroscopy (FTIR), Polyethylene terephthalate (PET) (38.57 %) and polyethylene (PE) (36 %), with filamentous (33.33 %) and irregular (32.37 %) morphologies, were the most common polymers. Most MPs (83.98 %) were between 0.3 and 1.5 mm, followed by 3-5 mm (8.75 %) and 1.5-3 mm (7.27 %). Scanning electron microscopy (SEM) was employed to examine the surface deformation of different polymer types due to environmental exposure where the PE showed the highest degree of deformity. The polymer hazard index (PHI), the potential ecological risk index (RI), and, the ecological risk factor (E-r) values for Lake water indicate serious MPs risk. The pollution load index (PLI) had very low MP contamination. Household wastewater and fishing may be related to local MPs. This study may provide a MPs contamination baseline in Bangladesh's extensive freshwater ecosystem. The results will enhance knowledge of MPs pollution risk and contamination levels, which could facilitate the development of remediation strategies.",10.1016/j.hazadv.2025.100640,1,11/11/2025 13:14,
463,"Occurrence, stability and source identification of small size microplastics in the Jiayan reservoir, China","Microplastics (MPs) in terrestrial aquatic ecosystems has received increasing attention. However, its footprints in reservoirs are poorly documented compared to those in rivers and lakes, especially for small-sized microplastics (<300 ??m, SMPs). This study investigated the whole size spectrum of MPs contamination, classified by shape and polymer type, in surface waters and sediments at the Jiayan reservoir, one of the cascade reservoirs in the Upper Yangtze River in western China. High concentrations of MPs were detected in all surface water and sediment samples. The MPs abundances ranged from 1.10 ?? 10(4) to 6.17 ?? 10(4) items/m(3) (average 2.75 ?? 10(4) ?? 2.33 ?? 10(4) items/m(3)) in the surface water and 2.60 ?? 10(3) to 1.57 ?? 10(4) items/kg (average 6.90 ?? 10(3) ?? 5.96 ?? 10(3) items/kg) in the sediment. The SMPs accounted for 80% of the total MPs particles, and were dominated by polyethylene (PE) fragment. Small-sized PE was the main contributor to the high abundance of MPs in the Jiayan reservoir. Neglecting SMPs not only leads to an underestimation of the degree of risk, but also causes misjudgment of the major morphology, components, and sources. The conditional fragmentation model analysis showed the stability of MPs increased from the fibers to fragments and fibers tend to disintegrate into smaller particles. Agricultural activities and atmospheric deposition were the main sources of MPs in the Jiayan reservoir. This study indicates that the reservoirs are presumably hotspots for MPs accumulation, and the fate of SMPs in the cascade reservoirs deserves more attention for further studies.",10.1016/j.scitotenv.2021.150832,1,11/11/2025 13:15,
429,Distribution and risk assessment of microplastics in Liujiaxia Reservoir on the upper Yellow River,"Microplastics (MPSs) distribution in global freshwater systems is extensively reported, but the distribution of MPSs in reservoirs of the Yellow River has rarely been studied. To fill in this gap, we systematically investigated the distribution of MPSs in surface water and bank sediments gleaned from Liujiaxia Reservoir of the upper Yellow River for the first time and conducted an ecological risk assessment in succession in this work. The results showed that the main polymer types of MPSs in the surface water and bank sediments of Liujiaxia Reservoir were polyethylene terephthalate (PET), polystyrene (PS), and polypropylene (PP), and the abundance of MPSs in the reservoir surface water and bank sediments ranged from 4.48 to 12.09 item/L and 447.27 to 1543.80 item/kg (dry weight), respectively. Further physical morphology analysis of MPSs in the samples revealed that MPSs in the surface water and bank sediments of Liujiaxia Reservoir were predominantly fibrous with small particle sizes (<1 mm), and there was abundant color, mainly exhibiting transparent, black, and blue. The results of the MPS pollution load index (PLI>1) and the hazard ranking of MPSs (H(Zone) = 10.20 for surface water and H(Zone) = 14.06 for bank sediments) yielded a hazard class II for MPS pollution in Liujiaxia Reservoir, the combined pollution risk index (PRI(Zone) = 17.05 for surface water and PRI(Zone) = 31.25 for bank sediments) stated clearly the potential ecological risk in the Liujiaxia Reservoir. Briefly, this study supplemented and enriched the data on the distribution of MPSs in the reservoirs of the Yellow River basin, and provide a benchmark for future pollution control and management in the reservoir area.",10.1016/j.chemosphere.2023.138031,1,11/11/2025 13:16,
407,"Characterization and risk assessment of microplastics pollution in Mohamaya Lake, Bangladesh","Microplastics (MPs) have recently gained attention as emerging environmental contaminants, yet knowledge of their distribution, sources, and risks in freshwater lakes remains limited. This study examined the occurrence and risk of MPs in water and sediment samples from eight locations in Mohamaya Lake (Bangladesh) collected in April and May 2023. MPs were identified using stereomicroscopy and FTIR, revealing concentrations of 20-95 particles/L in water and 550-1900 particles/kg (d.w.) in sediment, with mean values of 50.62 ?? 9.95 particles/L and 1068.75 ?? 521.49 particles/kg (d.w.). Dominant MPs were blue fibers, 0-0.5 mm in size, with HDPE, PET and LDPE as the most common polymers. This study used four indices (nemerow pollution index-NPI, contamination factor-CF, pollution load index-PLI, and polymer hazard index-PHI) to assess MP pollution, revealing light to high contamination levels. While NPI indicated light pollution, CF, PLI, and PHI highlighted areas of moderate to high risk, with certain polymers showing high to extreme toxicity. This study deepens understanding of MP contamination in Bangladesh's freshwater lakes, underscoring the need for research on ecotoxicology, regulation, and associated challenges.",10.1016/j.jconhyd.2024.104487,1,11/11/2025 13:16,
431,"Characteristics and ecological risks of microplastic pollution in a tropical drinking water source reservoir in Hainan province, China","Microplastic (<5 mm) pollution has become a pressing environmental concern in recent years. The present study investigated the occurrence characteristics and assessed the ecological risk of microplastics in the surface water and sediment of the Chitian Reservoir, a drinking water source in Hainan province (China). The results indicated that microplastics were detected in the surface water and sediment of the Chitian Reservoir and its surrounding areas. The overall abundance of microplastics in the water was 3.05 ?? 1.16 items per L and in the sediment was 0.15 ?? 0.06 items per g dry weight, which is relatively low compared to other reservoirs in China. The dominant components of microplastics detected in the Chitian Reservoir were polypropylene (PP), rayon, and polyester. Physical morphology analysis of microplastics showed that fibers with small particle sizes (<1 mm) and white color were the predominant characteristics in both the surface water and sediment. The domestic sewage from surrounding residents and agricultural wastewater may be the primary sources of microplastics in the reservoir. Ecological risk assessment revealed that the overall pollution load index (PLI) in the surface water (0.65) and sediment (0.51) of the Chitian Reservoir and its surrounding area is at a low level. The potential ecological hazards (RI) of microplastics (0.13 to 336.78 in water; 0.23 to 465.93 in sediment) in most sites fall within the scope of level I, but those in a few sites are at level II due to the presence of polyvinyl chloride (PVC). This study enriches the data on microplastic pollution in inland reservoir systems, providing fundamental reference information for future ecotoxicological studies and the management of microplastic pollution control.",10.1039/d3em00528c,1,11/11/2025 13:17,
585,Evaluation of microplastic pollution in a lotic ecosystem and its ecological risk,"This study investigates the microplastics (MPs) pollution in Tigris River, assessing spatial and temporal variations in water and sediment. MPs presence was high during both seasons 3429.2 MPs/m(3) (dry season) and 3363.2 MPs/m(3) (wet season) in water, and 121.2 MPs/kg (wet season) and 123.2 MPs/kg (dry season) in sediment. MPs morphology mostly consisted of fibers and fragments, with sizes below 0.5 mm. Transparent and white were the most common colors, and they were primarily composed of polyethylene (PE) and polypropylene (PP). Ecological risk assessment, using the plastic hazard index (PHI), pollution load index (PLI), and potential ecological risk index (PERI), categorized the risk from danger to extreme danger based on PHI, while PLI and PERI indicated a minor risk. These findings provide initial evidence of microplastics pollution in the Tigris River's water and sediment, emphasizing the need for action by decision-makers to mitigate these risks.",10.1016/j.marpolbul.2023.115401,1,11/11/2025 13:17,
293,"Spatial-Temporal Distribution and Ecological Risk Assessment of Microplastic Pollution of Inland Fishing Ground in the Ubolratana Reservoir, Thailand","Microplastic pollution has been identified as a potential threat to the aquatic environment and humans globally, with widespread occurrence in ecosystems, including reservoirs that constitute a key role in ecosystem services for humans. However, the evaluation of microplastic pollution in reservoirs is limited, especially in inland fishing ground reservoirs. The spatial and temporal distributions of microplastics in surface water and sediment at 13 stations of the Ubolratana Reservoir, Thailand, were assessed during the wet and dry seasons. The abundance and morphological characteristics of the microplastics were identified and classified by color, shape, size and polymer type. Microplastic abundance in surface water and sediment ranged between 25 and 3363 particles/m(3) and 6 and 81 particles/kg, respectively. Seasonal variations impacted microplastic abundance in surface water, while tourism activity in the reservoir also influenced the abundance and morphological characteristics of microplastics. A microplastic risk assessment showed that the pollution load index reached extremely high levels in surface water during the dry season in tourist areas. The results provide a database to assess the risk of microplastic contamination and to monitor plastic pollution in lentic ecosystems, including preserving the health of aquatic habitats.",10.3390/w15020330,1,11/11/2025 13:17,
586,Potential Ecological Risk and Characterization of Floating Microplastics in the Surface Water of a Highly Urbanized Large River in Southeast Asia,"Microplastics (MPs) are widespread in aquatic environments and pose significant threats to ecosystems, wildlife, and human health. While MP pollution in water has received considerable attention, there is still limited understanding of its regional distribution, shapes, and associated risks. The Jamuna River, one of the largest freshwater ecosystems in Bangladesh, is increasingly contaminated by hazardous MPs, likely originating from industrial, domestic, hospital waste, and municipal sewage. This study aimed to investigate the abundance, distribution, characteristics, and ecological risks of MPs in the surface water of a highly urbanized large river in Southeast Asia. Water samples were collected from 30 sites along a 44 km stretch of the river during two periods: March to April (premonsoon) and July to August (monsoon). A total of 386 MPs were identified in the collected samples. The mean abundance of MPs in the surface water of the Jamuna River ranged from 0.01 to 0.15 MPs/L during the premonsoon season and from 0.01 to 0.13 MPs/L during the monsoon season. Approximately 79.78%-87.98% of the particles fell within the 100-1500 ??m size range. The presence of polyethylene (31.60%-37.24%), polystyrene (PS) (6.71%-10.81%), and polyvinyl chloride (PVC) (5.64%-7.28%) contributed significantly to MP contamination, posing a high health hazard. Several risk assessment models were employed to evaluate the associated risks. The pollution load index (PLI) classified the contamination under risk Category I (minor pollution). Meanwhile, the polymer hazard index (PHI) values were 305.65 for the premonsoon season and 208.0 for the monsoon season, both indicating hazard Category IV (""danger"" level). The potential ecological risk index (PERI) placed the Jamuna River surface water in the ""extreme danger"" risk category, with values of 2454.43 during the premonsoon and 1911.29 during the monsoon. The prevalence of high-hazard polymers such as PVC and PS suggests a potential risk of toxicological effects for aquatic organisms and humans through food web transfer. This baseline study provides valuable insights into the MP pollution of one of the country's major rivers. It may help improve our understanding of land-based MP inputs from inland water bodies severely impacted by anthropogenic activities.",10.1155/sci5/3043345,1,11/11/2025 13:18,
197,"Occurrence and distribution of micro- and mesoplastics in the high-latitude nature reserve, northern China","Microplastics pollution has received growing attention worldwide in recent years. However, data on microplastics in the freshwater environment are still limited, especially in high-latitude nature reserves in Northern China. The first study on microplastic pollution in the Liaohe River Reserve in Northern China is reported here, and mesoplastics were also incorporated. Surface water and sediment samples were collected from 32 sites along the nature reserve. The abundance, type, shape, color, and size of micro- and mesoplastics were measured using density extraction, optical microscopy, and FTIR spectroscopy. The data showed that diverse micro- and mesoplastics were found widespread in the 32 sites, and the average abundance of these plastics was 0.11 +/- 0.04 10(-2) items/L in surface water and 62.29 +/- 54.30 items/kg in sediment. Moreover, 70% and 66% were smaller than 2000 mu m in surface water and sediment, respectively. Fiber accounted for 91.86% in surface water and 43.48% in sediment, indicating that the major source of micro- and mesoplastics in the Liaohe River Reserve may be domestic sewage and aquaculture. A total of 16 and 27 polymers were identified in surface water and sediment, respectively, and mostly consisted of rayon, polyester, polystyrene, and poly(ethylene terephthalate). Moreover, both the risk index and the pollution load index demonstrated a low risk of micro- and mesoplastics in surface water and sediment in the Liaohe River Reserve. (C) Higher Education Press 2022",10.1007/s11783-022-1534-7,1,11/11/2025 13:20,
703,Neglected Microplastics and Their Risks in Rivers Throughout the Three Gorges Reservoir Area,"Microplastics have become a global environmental issue, and this challenge has also emerged in river environments. In this study, the Three Gorges Reservoir (TGR) was selected as the research area, and microplastics in water and sediments were chosen as the objects. The occurrence characteristics of microplastics were presented in rivers of the TGR through the methods of field sample collection and laboratory testing, and the risks of microplastics were evaluated using the pollution risk index (PRI) and potential ecological risk index. The results showed that the average abundances of microplastics in water and sediments of the rivers from the TGR were 15,464 particles/m(3) and 1838 particles/kg, respectively. Furthermore, the main colors of microplastics in water and sediments of the TGR were black and blue, and the particle sizes were concentrated in the range of 200 to 500 ??m. Polypropylene and polyethylene were the major polymers of microplastics in the water of the TGR, while the polypropylene-polyethylene copolymer was dominant in sediments. The PRIs in the water of the Yangtze River and its tributary from the TGR area were 2.45 and 1.72, respectively, and their PRIs were 2.43 and 2.01 in sediments, respectively, showing a low risk of pollution (level I). The average comprehensive potential ecological risk indices (RIs) for the Yangtze River and its tributaries were 27.28 and 18.82 in the water of the TGR, respectively, indicating low and moderate risk grades. However, there was a significantly high risk in sediment, and the average RI was 130.57 for the Yangtze River and 70.05 for the tributaries. Importantly, the neglected risks of microplastics in the river environment of the TGR area have been revealed, which provides a critical basis for the prevention and control of microplastic pollution here.",10.3390/toxics13090781,1,11/11/2025 13:20,
767,"Microplastics Pollution and Risk Assessment in Selected Surface Waters of the Wei River Plain, China","Currently, microplastics pollution has become an increasingly serious environmental problem attracting the attention of researchers. However, research of microplastics contamination in inland surface waters in northwest China is limited. In this study, the amounts and distribution of microplastics were detected in the selected surface water bodies of the Wei River Plain. The pollution risk of microplastics in this study area was also analyzed based on the calculated risk index values. The results indicated that the number ranges of microplastics were 4.67-12.3 items/L in collected samples. Fiber was the primary microplastics shape, the plastic particles with a size < 0.5 mm were dominant, and the polyethylene (PE) polymer was the major polymer of microplastics in collected water samples. The results of pollution risk assessment revealed that the pollution risk of microplastics was at a high pollution level in the study area and necessary actions were required to reduce the risk. The study may provide potential information for understanding the source, pollution, and ecological risk assessment of microplasitcs, benefiting the effective control and supervision of microplastics polluted areas in inland China.",10.1007/s12403-022-00522-z,1,11/11/2025 13:21,
