Unique_ID,Study_ID,Title,Year,First_Author,Latitude,Longitude,Season_Calculated,Gear_Category,Std_Value_m3,Separation_Category,Shape_Fiber,Shape_Fragment,Shape_Pellet,Shape_Film,Shape_Other,Poly_PE,Poly_PP,Poly_PS,Poly_PET,Poly_PVC,Poly_PA,Poly_PC,Poly_PU,Note,Samp_Year_Start,Samp_Year_End,Mesh_Size_um,dis_m3_pyr,run_mm_syr,lkv_mc_usu,rev_mc_usu,ria_ha_ssu,ria_ha_usu,riv_tc_ssu,riv_tc_usu,ele_mt_sav,ele_mt_uav,slp_dg_sav,slp_dg_uav,sgr_dk_sav,tmp_dc_syr,tmp_dc_uyr,pre_mm_syr,pre_mm_uyr,pet_mm_syr,pet_mm_uyr,aet_mm_syr,aet_mm_uyr,crp_pc_sse,crp_pc_use,pst_pc_sse,pst_pc_use,wet_pc_sg1,wet_pc_ug1,wet_pc_sg2,wet_pc_ug2,pop_ct_ssu,pop_ct_usu,urb_pc_sse,urb_pc_use,rdd_mk_sav,rdd_mk_uav,hft_ix_s09,hft_ix_u09,hdi_ix_sav,HYBAS_ID
REC_00018,Verma_2025_Spatialand,"Spatial and seasonal variations in abundance, distribution characteristics, and sources of microplastics in surface water of Mula river in Pune, India",2025,Meenakshi Verma,18.5741,73.8322,Autumn,Bulk Water,1433000.0,NaCl,,,,,,17.0,17.0,,,,8.0,,,"Mula River | Pune, Maharashtra | Industrial/Residential  | Fenton's reagent (30 % H2O2: Fe II) | NaCl | Visual microscopy; FTIR (ATR) for subset | Table 2 | Bopodi & Post-monsoon ... 1433 ?? 68 | Table 1 | Polymer composition is seasonal average applied to site.",2023.0,2023.0,25.0,24.623,1082.0,179000000.0,0.0,943550.0,3071600.0000000005,1321309.0,3046180.0,580.0,647.0,1.0,5.0,2.8000000000000003,24.8,24.3,964.0,2101.0,1739.0,1628.0,760.0,811.0,43.0,58.0,1.0,4.0,0.0,4.0,0.0,0.0,182883.0,317443.0,90.0,29.0,4980.0,1393.0,37.1,24.4,0.776,4121067250.0
REC_00019,Kankanige_2021_Contaminat,Contamination by ???6.5 ??m-sized microplastics and their removability in a conventional water treatment plant (WTP) in Thailand,2021,Dinuka Kankanige,14.0208,100.525,Winter,Bulk Water,1385000.0,Not Reported,,,,,,,,,,,,,,"Source Canal (Chao Phraya River) | Pathum Thani | Urban/Industrial  | H2O2 + Fe(II) (Wet Peroxide Oxidation) | Optical microscopy, Nile Red, ATR-FTIR, Raman | Figure 2 E (Data Table embedded in image) | 1385 | Calculated center point of range (Pathum Thani, Thailand) | Not reported in text | Sampling date inferred from precipitation data discussion (Dec 2018). Raw water intake for WTP. Fibers were the dominant shape overall.",2018.0,2018.0,6.5,811.597,453.0,31500000000.0,30986000000.0,1791650.0,381374300.0,7697152.0,614977625.0,5.0,368.0,0.0,6.300000000000001,0.4,28.1,26.0,1422.0,1190.0,1673.0,1733.0,1037.0,966.0,54.0,27.0,0.0,0.0,100.0,4.0,100.0,4.0,117667.0,12607950.0,87.0,4.0,3229.0,386.0,35.0,11.5,0.74,4121123330.0
REC_00021,Wang_2024_Spatialdis,"Spatial distribution and vertical characteristics of microplastics in the urban river: The case of Qinhuai River in Nanjing, China",2024,Luming Wang,31.96,118.67,Spring,Bulk Water,1188000.0,ZnCl2,,,,,,,,,,,,,,"Qinhuai River | Nanjing, China | Residential/Estuary  | H2O2 + FeSO4 (WPO/Fenton) | ZnCl2 | Stereo microscope + ATR-FTIR | Section 3.1 | MPs concentration in the sampling site JZ (1188 ?? 418 items/L) exhibited 1.81 times higher than the site SC | Table S1 | Average of 3 depths and 3 replicates | Downstream site. Dominant polymers PC, PP, PS mentioned in text. Site value averages Surface, Middle, and Deep layers.",2023.0,2023.0,38.0,29524.785,332.0,227738000000.0,163822000000.0,3701820.0,9044921880.0,50794680.0,43612960000.0,7.0,1654.0,0.4,13.4,0.6000000000000001,15.7,11.4,1032.0,1050.0,1113.0,1004.0,875.0,803.0,90.0,20.0,5.0,30.0,27.0,4.0,3.0,2.0,45288.0,365968281.0,76.0,6.0,4824.0,265.0,31.4,11.5,0.794,4120704740.0
REC_00025,Verma_2025_Spatialand,"Spatial and seasonal variations in abundance, distribution characteristics, and sources of microplastics in surface water of Mula river in Pune, India",2025,Meenakshi Verma,18.5638,73.7896,Spring,Bulk Water,980000.0,NaCl,,,,,29.0,14.0,15.0,7.14,,,,7.0,,"Mula River | Pune, Maharashtra | Residential  | Fenton's reagent (30 % H2O2: Fe II) | NaCl | Visual microscopy; FTIR (ATR) for subset | Table 2 | Aundh & Pre-monsoon ... 980 ?? 182 | Table 1 | Shape_Other is Foam (29%). Polymer composition is seasonal average applied to site.",2023.0,2023.0,25.0,38.623,1198.0,528000000.0,523000000.0,1147610.0,4452930.0,1757694.0,4778249.0,613.0,685.0,3.5,8.4,5.800000000000001,24.6,24.0,1119.0,2303.0,1710.0,1588.0,797.0,817.0,39.0,50.0,3.0,4.0,0.0,7.0,0.0,0.0,149310.0,250162.0,69.0,15.0,3451.0,837.0,33.5,22.5,0.776,4121067310.0
REC_00026,Han_2020_Distributi,Distribution of microplastics in surface water of the lower Yellow River near estuary,2020,Mei Han,37.83,119.1,Spring,Bulk Water,930000.0,NaCl,,,,,,,,,,,,,,"Yellow River | Shandong   | H2O2 (30%) | NaCl (1.3 g/mL) | Optical Microscope, SEM, ATR-FTIR | Abstract and Page 6, Section 3.3 | The average abundances of microplastics in the dry and wet seasons were 930 and 497 item/L, respectively. | Visual estimation from Fig 1 and Fig 6b (Distance 9-16km from estuary) | Coordinates referenced in Table S1 but file not available. | Overall study average reported. Individual site data not available for Dry season (only graph). | Range for Dry season: 623-1392 items/L (Table 1). Sampling sites were different from Wet season due to logistical issues (Page 6).",2019.0,2019.0,50.0,0.5,118.0,0.0,0.0,72620.0,72620.0,8345.0,8345.0,0.0,0.0,0.0,0.0,0.6000000000000001,12.2,12.2,584.0,584.0,1079.0,1079.0,498.0,498.0,40.0,24.0,45.0,55.0,94.0,70.0,94.0,70.0,5760.0,5760.0,0.0,0.0,481.0,254.0,8.9,0.4,0.766,4120007840.0
REC_00028,HuesoKorte_2025_Microplast,"Microplastics in Inland Saline Lakes of the Central Ebro Basin, NE Spain",2025,Katia Hueso-Kortekaas,41.79772,-0.18027,Winter,Bulk Water,916000.0,Other,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,"Sari??ena Lake | Aragon (Huesca/Zaragoza/Teruel) | Agricultural/Urban (Village)  | H2O2 (30%) | None (Filtration only) | Optical microscopy and micro-FTIR | Table 1; Table 2; Figure 5a | Table 1: A Sari??ena... Table 2: A 916 ?? 518 MPs/L... Fiber (100%) | Table 1 | Poly_Other = Polyester (94.4%). Note: Paper distinguishes Nylon (mapped to Poly_PA) and PA (Polyacrylonitrile, mapped to Poly_Other), but no PA found at this site. Reported concentration derived from analyzing 30% of filter area.",2022.0,2022.0,5.0,16.122,226.0,3000000.0,0.0,496260.0,2079880.0,380588.0,977715.0,360.0,693.0,2.2,7.300000000000001,6.9,13.0,10.7,436.0,585.0,1042.0,939.0,375.0,484.0,61.0,38.0,34.0,23.0,0.0,0.0,0.0,0.0,2309.0,8854.0,0.0,0.0,349.0,320.0,14.2,9.9,0.9,2120607770.0
REC_00029,AbdulHalim_2024_HubunganMi,"Hubungan Mikroplastik dan Kualiti Air di Sungai Melaka, Melaka, Malaysia",2024,Mohamad Hafiz Abdul Halim,2.3734,102.2216,Summer,Bulk Water,855500.0,ZnCl2,,,,,,,,,,,,,,"Sungai Melaka | Melaka | Recreation/Housing/Road  | FeSO4 + H2O2 (Fenton) | ZnCl2 | Stereomicroscope, Raman | Table 1; Page 2076 | 2?? 22?? 24.366?? U 102?? 13?? 17.9256?? T; Stesen S9 menunjukkan kelimpahan tertinggi (855.5 ?? 240 zarah L-1) | Table 1 | Highest abundance site.",2022.0,2022.0,0.45,10.917,901.0,0.0,0.0,176500.0,738180.0,100584.0,290409.0,43.0,99.0,2.4000000000000004,4.5,1.8,27.200000000000003,26.8,2052.0,2015.0,1657.0,1667.0,1581.0,1577.0,49.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,33316.0,87322.0,35.0,11.0,721.0,447.0,32.6,23.1,0.789,4121605020.0
REC_00030,HuesoKorte_2025_Microplast,"Microplastics in Inland Saline Lakes of the Central Ebro Basin, NE Spain",2025,Katia Hueso-Kortekaas,40.971938,-1.501162,Winter,Bulk Water,850000.0,Other,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,0.0,7.6,0.0,0.0,Gallocanta Lake | Aragon (Huesca/Zaragoza/Teruel) | Agricultural/Rural | Low | H2O2 (30%) | None (Filtration only) | Optical microscopy and micro-FTIR | Table 1; Table 2; Figure 5b | Table 1: B Gallocanta... Table 2: B 850 ?? 271 MPs/L... Fiber (100%) | Table 1 | Poly_Other = Polyester (55.7%). Poly_PA = Nylon (7.6%).,2022.0,2022.0,5.0,0.16,28.0,0.0,0.0,57370.0,57370.0,7191.0,7191.0,1079.0,1079.0,3.3000000000000003,3.3000000000000003,5.2,9.9,9.9,480.0,480.0,930.0,930.0,415.0,415.0,49.0,49.0,11.0,11.0,3.0,3.0,0.0,0.0,609.0,609.0,0.0,0.0,169.0,169.0,9.4,9.4,0.9,2120623770.0
REC_00034,Wang_2024_Investigat,"Investigation of microplastics in urban rivers of Eastern China in summer: abundance, characteristics and ecological risk assessment",2024,Luming Wang,32.01,118.83,Summer,Bulk Water,741000.0,ZnCl2,,88.0,,,12.0,22.0,11.0,,22.0,,,44.0,,"Qinhuai River | Nanjing | Wetland Park/Anthropogenic  | H2O2 + FeSO4 (WPO) | ZnCl2 | Stereo microscope + ATR-FTIR | Page 5, Section 3.2 | midstream showed a relatively higher MP abundance, especially in site QW, with a concentration of 741 ?? 33.78 items per L. | Table S1 | Site QW (Qiqiaowen Bridge). Concentration explicitly stated in text. Shape/Polymer visually estimated from Fig 5C/D.",2023.0,2023.0,38.0,29.242,329.0,344000000.0,286000000.0,827180.0,5260860.0,1096706.0,3388258.0,14.0,33.0,0.8,1.7000000000000002,0.7000000000000001,15.6,15.6,1023.0,1066.0,1112.0,1094.0,867.0,904.0,42.0,45.0,3.0,3.0,7.0,2.0,0.0,0.0,1650340.0,3768829.0,97.0,42.0,13208.0,2283.0,33.800000000000004,23.200000000000003,0.794,4120704580.0
REC_00035,Wang_2024_SpatialTem,"Spatial??Temporal and Risk Assessment of Microplastics in the Surface Water of the Qinhuai River during Different Rainfall Seasons in Nanjing City, China",2024,Luming Wang,31.77,118.9,Autumn,Bulk Water,718000.0,ZnCl2,,,,,,,,,,,,,,"Qinhuai River | Nanjing | Urban/Industrial  | WPO (30% H2O2, 0.05 M FeSO4) | ZnCl2 | Stereo microscope + ATR-FTIR | Table S6 and Table S1 | Table S6: PLI Autumn rain = 2.94; C0i takes mean value of 83 items/L | Table S1 | Calculated from PLI (2.94) and baseline C0i (83) using Formula 3: Ci = PLI^2 * C0i.",2023.0,2023.0,38.0,3.595,354.0,14000000.0,10000000.0,29510.0,442050.0,19898.0,141906.0,9.0,31.0,0.3,1.8,0.3,15.8,15.7,1078.0,1101.0,1109.0,1097.0,914.0,933.0,33.0,36.0,0.0,1.0,0.0,1.0,0.0,0.0,2729.0,240491.0,88.0,45.0,1811.0,1113.0,34.7,21.0,0.794,4120711200.0
REC_00036,Wang_2024_Spatialdis,"Spatial distribution and vertical characteristics of microplastics in the urban river: The case of Qinhuai River in Nanjing, China",2024,Luming Wang,31.77,118.9,Spring,Bulk Water,694000.0,ZnCl2,,,,,,,,,,,,,,"Qinhuai River | Nanjing, China | Industrial  | H2O2 + FeSO4 (WPO/Fenton) | ZnCl2 | Stereo microscope + ATR-FTIR | Section 3.1 | the MPs concentration was 682 items/L, with 694 ?? 175 items/L and 670 ?? 129 items/L in WC and YQ. | Table S1 | Average of 3 depths and 3 replicates | Upstream site. Dominant polymer PE mentioned in text. Site value averages Surface, Middle, and Deep layers.",2023.0,2023.0,38.0,3.595,354.0,14000000.0,10000000.0,29510.0,442050.0,19898.0,141906.0,9.0,31.0,0.3,1.8,0.3,15.8,15.7,1078.0,1101.0,1109.0,1097.0,914.0,933.0,33.0,36.0,0.0,1.0,0.0,1.0,0.0,0.0,2729.0,240491.0,88.0,45.0,1811.0,1113.0,34.7,21.0,0.794,4120711200.0
REC_00038,Wang_2024_Spatialdis,"Spatial distribution and vertical characteristics of microplastics in the urban river: The case of Qinhuai River in Nanjing, China",2024,Luming Wang,31.88,118.85,Spring,Bulk Water,670000.0,ZnCl2,,,,,,,,,,,,,,"Qinhuai River | Nanjing, China | Industrial  | H2O2 + FeSO4 (WPO/Fenton) | ZnCl2 | Stereo microscope + ATR-FTIR | Section 3.1 | the MPs concentration was 682 items/L, with 694 ?? 175 items/L and 670 ?? 129 items/L in WC and YQ. | Table S1 | Average of 3 depths and 3 replicates | Upstream site. Dominant polymer PE mentioned in text. Site value averages Surface, Middle, and Deep layers.",2023.0,2023.0,38.0,26.771,334.0,344000000.0,286000000.0,532210.0,4313880.0,565583.0,2264465.0,21.0,33.0,1.6,1.7000000000000002,0.6000000000000001,15.6,15.6,1043.0,1071.0,1112.0,1092.0,885.0,907.0,59.0,44.0,4.0,3.0,0.0,1.0,0.0,0.0,273850.0,1718300.0,91.0,37.0,5839.0,1570.0,33.5,22.1,0.794,4120704590.0
REC_00040,Wang_2024_SpatialTem,"Spatial??Temporal and Risk Assessment of Microplastics in the Surface Water of the Qinhuai River during Different Rainfall Seasons in Nanjing City, China",2024,Luming Wang,32.08,118.73,Spring,Bulk Water,664000.0,ZnCl2,,,,,,,,,,,,,,"Qinhuai River | Nanjing | Urban/Industrial  | WPO (30% H2O2, 0.05 M FeSO4) | ZnCl2 | Stereo microscope + ATR-FTIR | Table S6 and Table S1 | Table S6: PLI Spring rain = 1.54; C0i takes mean value of 280 items/L | Table S1 | Calculated from PLI (1.54) and baseline C0i (280) using Formula 3: Ci = PLI^2 * C0i.",2023.0,2023.0,38.0,29556.611,322.0,228096000000.0,164108000000.0,13481070.0,9075131880.0,183374016.0,43954892000.0,22.0,1651.0,1.7000000000000002,13.3,0.9,15.6,11.5,997.0,1050.0,1102.0,1004.0,846.0,803.0,20.0,20.0,0.0,30.0,25.0,4.0,9.0,2.0,1872188.0,371802188.0,90.0,6.0,10416.0,270.0,36.0,11.5,0.794,4120699850.0
REC_00041,Wang_2024_Spatialdis,"Spatial distribution and vertical characteristics of microplastics in the urban river: The case of Qinhuai River in Nanjing, China",2024,Luming Wang,32.08,118.73,Spring,Bulk Water,656000.0,ZnCl2,,,,,,,,,,,,,,"Qinhuai River | Nanjing, China | Residential/Estuary  | H2O2 + FeSO4 (WPO/Fenton) | ZnCl2 | Stereo microscope + ATR-FTIR | Section 3.1 | site SC (656 ?? 171 items/L), which showed a significant difference | Table S1 | Average of 3 depths and 3 replicates | Downstream site. Dominant polymers PC, PP, PS mentioned in text. Site value averages Surface, Middle, and Deep layers.",2023.0,2023.0,38.0,29556.611,322.0,228096000000.0,164108000000.0,13481070.0,9075131880.0,183374016.0,43954892000.0,22.0,1651.0,1.7000000000000002,13.3,0.9,15.6,11.5,997.0,1050.0,1102.0,1004.0,846.0,803.0,20.0,20.0,0.0,30.0,25.0,4.0,9.0,2.0,1872188.0,371802188.0,90.0,6.0,10416.0,270.0,36.0,11.5,0.794,4120699850.0
